CID,CRPName
N00000286,"Romney, Mitt"
N00029018,"Rooney, Tom"
N00004719,"Roskam, Peter"
N00002858,"Ros-Lehtinen, Ileana"
N00030645,"Ross, Dennis"
N00009571,"Ross, Mike"
N00031253,"Rothfus, Keith J"
N00008619,"Rothman, Steven R"
N99999989,"Rove, Karl C"
N00006671,"Roybal-Allard, Lucille"
N00008264,"Royce, Ed"
N00030612,"Rubio, Marco"
N00033510,"Ruiz, Raul"
N99999981,"Rumsfeld, Donald H"
N00031988,"Runyan, Jon"
N00025482,"Ruppersberger, Dutch"
N00004887,"Rush, Bobby L"
N00004357,"Ryan, Paul"
N00025280,"Ryan, Tim"
N00005218,"Ryun, Jim"
N00030418,"Sablan, Gregorio Kilili Cama"
N00004489,"Sabo, Martin Olav"
